label,value,category,series
"Tiền mặt",0.000000,"Hài lòng","Tích cực"
"Tiền mặt",0.000000,"Không hài lòng","Tiêu cực"
"Tiền mặt",40.000000,"Trung tính","Trung tính"
"Nhà ở",0.000000,"Hài lòng","Tích cực"
"Nhà ở",0.000000,"Không hài lòng","Tiêu cực"
"Nhà ở",0.000000,"Trung tính","Trung tính"
"Hỗ trợ y tế",0.000000,"Hài lòng","Tích cực"
"Hỗ trợ y tế",40.000000,"Không hài lòng","Tiêu cực"
"Hỗ trợ y tế",0.000000,"Trung tính","Trung tính"
"Thực phẩm",49.000000,"Hài lòng","Tích cực"
"Thực phẩm",0.000000,"Không hài lòng","Tiêu cực"
"Thực phẩm",0.000000,"Trung tính","Trung tính"
"Giao thông",0.000000,"Hài lòng","Tích cực"
"Giao thông",34.000000,"Không hài lòng","Tiêu cực"
"Giao thông",34.000000,"Trung tính","Trung tính"
